input_id	dealiased_id	standard_id	short_id
pmid:16129367	pmid:16129367	pubmed:16129367	wEXyiydz
PMID:20619739	PMID:20619739	pubmed:20619739	h29ZM4mv
pmid:20371346	pmid:20371346	pubmed:20371346	1AGMG5i1a
doi:10.1038/nrg.2016.13	doi:10.1038/nrg.2016.13	doi:10.1038/nrg.2016.13	jHXzaoNt
pmid:25131830	pmid:25131830	pubmed:25131830	79g6Efbb
pmid:29250983	pmid:29250983	pubmed:29250983	8PjsI84U
doi:10.1038/bjc.2015.146	doi:10.1038/bjc.2015.146	doi:10.1038/bjc.2015.146	m4Kq0IiR
pmid:22397650	pmid:22397650	pubmed:22397650	1EmZp72ZM
doi:10.1534/genetics.114.167908	doi:10.1534/genetics.114.167908	doi:10.1534/genetics.114.167908	arjISkeW
pmid:27322546	pmid:27322546	pubmed:27322546	5liODcji
pmid:22460905	pmid:22460905	pubmed:22460905	4Owum1Lv
doi:10.1038/ni908	doi:10.1038/ni908	doi:10.1038/ni908	od9oxYIw
pmid:8072198	pmid:8072198	pubmed:8072198	tAijMuLh
pmid:8655369	pmid:8655369	pubmed:8655369	Ys7Kc53C
pmid:20981102	pmid:20981102	pubmed:20981102	17XnDKTPF
pmid:29381859	pmid:29381859	pubmed:29381859	gckaWBL7
pmid:22886092	pmid:22886092	pubmed:22886092	1ETBBN4au
pmid:25421725	pmid:25421725	pubmed:25421725	15TlHMr6M
pmid:19136655	pmid:19136655	pubmed:19136655	xFOIrC99
doi:10.1101/373258	doi:10.1101/373258	doi:10.1101/373258	EhD8XBE4
doi:10.1073/pnas.1715639115	doi:10.1073/pnas.1715639115	doi:10.1073/pnas.1715639115	1EqKfJscv
doi:10.1109/78.668544	doi:10.1109/78.668544	doi:10.1109/78.668544	NpTWgmsV
doi:10.1109/TSP.2004.832006	doi:10.1109/TSP.2004.832006	doi:10.1109/tsp.2004.832006	166ppCqyp
pmid:18255546	pmid:18255546	pubmed:18255546	CtsvFuNR
pmid:23762278	pmid:23762278	pubmed:23762278	DwaDMIcb
PMID:19628503	PMID:19628503	pubmed:19628503	ekdPNhEM
doi:10.1101/488981	doi:10.1101/488981	doi:10.1101/488981	1BIrh4wZS
DOI:10.1073/pnas.1715639115	DOI:10.1073/pnas.1715639115	doi:10.1073/pnas.1715639115	1EqKfJscv
PMID:28607484	PMID:28607484	pubmed:28607484	OwA4M4C
doi:10.7554/eLife.51002	doi:10.7554/eLife.51002	doi:10.7554/elife.51002	1G0sgJjjW
doi:10.1109/TIT.2002.1003838	doi:10.1109/TIT.2002.1003838	doi:10.1109/tit.2002.1003838	JRNlQvSH
doi:10.1002/j.1538-7305.1983.tb03114.x	doi:10.1002/j.1538-7305.1983.tb03114.x	doi:10.1002/j.1538-7305.1983.tb03114.x	8YJUISJf
doi:10.1016/0167-8655	doi:10.1016/0167-8655	doi:10.1016/0167-8655	FJbXYbf9
doi:10.1006/jmps.1999.1276	doi:10.1006/jmps.1999.1276	doi:10.1006/jmps.1999.1276	13gfM5gIA
doi:10.1137/1118101	doi:10.1137/1118101	doi:10.1137/1118101	4k5b0QER
